title,channel_title,desc,date,tags,liked,disliked,views
Самые популярные сказки для детей в парке развлечений Popular fairy tales for children in the park,Like Nastya,"Самые популярные сказки для детей в парке развлечений. Здесь собраны самые любимы сказки таки как Алиса в стране чудес, три поросёнка, красная шапочка, Белоснежка и семь гномов и многие другие.
Popular fairy tales for children in the amusement park",2018-05-01T07:24:22Z,"['сказки', 'сказки для детей', 'в парке', 'сказка', 'самые популярные', 'популярные сказки', 'сказка на ночь', 'развлечения', 'на русском', 'самые лучшие', 'парк развлечений', 'для детей', 'видео для детей', 'детские сказки', 'for kids', 'fairy tales', 'fairy tale', 'popular', 'for children', 'настя', 'лайк настя', 'like nastya']",32531,14519,14899572
Настя и Папа и забавное солнышко,Like Nastya,Настя и папа убегают от забавного солнышка. Оно так и хочет чтобы они загорели.,2018-04-30T07:00:02Z,"['папа', 'pretend play', 'fun', 'papa', 'playing', 'настя', 'like nastya', 'лайк настя']",257006,100028,85108601
Настя и папа играют в прятки в магазине,Like Nastya,Настя играет в прятки с папой в детском магазине. Затем они идут развлекаться на детскую площадку. самый весёлый день с папой.,2018-04-28T08:05:53Z,"['playtime', 'toys', 'family fun', 'настя', 'nastya', 'like nastya', 'лайк настя', 'настя и папа', 'играем в прятки']",54846,25225,19654281
Настя и папа в любимом парке развлечений в Тайланде,Like Nastya,"Наш любимый парк с множеством классных инсталляций. Делаем фото, играем и отдыхаем в парке развлечений.",2018-04-24T07:00:05Z,"['amusement park', 'entertainment', 'playtime', 'like nastya', 'настя и папа', 'настя', 'лайк настя', 'nastya']",16337,7953,8082107
Настя и динозавр на надувном батуте,Like Nastya,У Насти поселился динозавр. Он хочет жить в домике. Настя пытается его прогнать.,2018-04-22T06:30:00Z,"['игрушки', 'лайк настя', 'динозавр', 'настя', 'игрушки для детей', 'pretend play', 'dinozaur', 'kids toys', 'play', 'toys', 'nastya', 'like nastya']",125370,56245,67489973
Nastya and her Adventures on a Desert Island,Like Nastya,Nastya and her Adventures on a Desert Island,2018-04-20T07:00:00Z,"['nastya', 'pretend play', 'kids Adventure', 'toys', 'kids video', 'play toys', 'like nastya', 'настя']",48486,17991,24706017
Приключения на Мальдивах. Папа потерялся на острове,Like Nastya,Мы приехали на Мальдивы и вдруг наш папа потерялся. Мы с Настей обходим весь остров в поиске папы.,2018-04-18T07:00:03Z,"['влог', 'like nastya', 'play', 'настя', 'лайк настя', 'nastya', 'мальдивы']",179446,74636,66285582
Настя и Влог в музее мороженого,Like Nastya,Мы посетили Музей сладостей и мороженного. Незабываемое развлечение для детей и родителей,2018-04-16T07:00:00Z,"['влог', 'музей мороженого', 'family fun', 'музей сладостей', 'fun', 'for kids', 'лайк настя', 'vlog', 'настя', 'like nastya', 'nastya']",92358,37285,43839864
Nastya Pretend Play with ice cream toys,Like Nastya,Nastya is playing with ice cream toys and animals,2018-04-14T08:30:01Z,"['toys', 'ice cream toys', 'playing with toys', 'play', 'play with toys', 'playing', 'funny', 'nastya', 'like nastya', 'настя', 'лайк настя']",34830,15664,16403316
Настя в парке развлечений - сборник лучших моментов,Like Nastya,Настя объехала все самые лучшие парки развлечений в мире. В этом видео собраны лучшие моменты и развлечения.,2018-04-12T07:00:02Z,"['fun', 'play', 'playtime', 'nastya', 'like nastya', 'настя', 'лайк настя']",36111,17985,13042964
