title,channel_title,desc,date,tags,liked,disliked,views
Nastya and her usual day with spoiled kittens,Like Nastya,"Nastya takes care of the kittens, oh they are so naughty that Nastya has all day in worries. Learn from Nastya to take care of your pets!
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-18T06:00:17Z,"['nastya', 'my pets', 'pet for kids', 'kittens', 'funny pets', 'nastya and cat', 'kids video', 'video about cats', 'настя']",274028,80463,45383453
Настя учит считать до 10,Like Nastya,"Настя и папа учат считать до 10 с помощью коробок с сюрпризами.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-16T06:00:15Z,"['настя и папа', 'считаем до 10', 'учимся считать', 'лайк настя', 'learning to count', 'toys for kids', 'learn and play', 'nastya and dad', 'like nastya', 'nastya']",697989,321732,173321362
Nastya and her daily Routine with dad,Like Nastya,"Nastya and Dad show stories from the daily quarantine routine. Stay at home with Like Nastya
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-14T06:00:04Z,"['nastya', 'Routine', 'play with dad', 'nastya and dad', 'like nastya', 'настя', 'лайк настя', 'настя и папа', 'Stay at home']",371584,147046,67506040
Настя устроила для папы салон красоты,Like Nastya,"Настя хочет поиграть в салон красоты. Она делает папе весёлые процедуры.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-12T06:00:02Z,"['салон красоты', 'играть', 'игрушки', 'настя и папа', 'настя', 'лайк настя', 'beauty toys', 'pretend play', 'play with dad', 'toys for kids', 'kids video', 'nastya and dad', 'nastya', 'like nastya']",455145,193225,110035534
Настя и папа собираются плавать в бассейне,Like Nastya,"Настя хочет купаться в бассейне, но он грязный и холодный. Тогда папа помогает дочке и устанавливает ей надувную горку.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-10T06:00:10Z,"['бассейн', 'настя и папа', 'настя', 'лайк настя', 'игрушки для бассейна', 'pool', 'fun in the pool', 'family fun', 'nastya and dad', 'play', 'toys', 'nastya', 'like nastya']",498370,215432,123686411
Nastya and papa - fun competitions and challenge with toys,Like Nastya,"Nastya and dad had a toy challenge. You need to find keys or collect figures to get the main prize.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-09T06:00:22Z,"['nastya', 'pretend play', 'challenge', 'toys', 'play with toys', 'kids challenge', 'nastya and dad', 'like nastya', 'настя', 'настя и папа', 'лайк настя']",404423,168153,86891950
Nastya and dad came up with funny entertainment,Like Nastya,"Nastya is bored at home without her friends. Dad comes up with fun entertainment to cheer Nastya.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-07T06:00:16Z,"['игры дома', 'оставайся дома', 'развлечения', 'настя и папа', 'настя', 'лайк настя', 'family fun', 'play outdoor', 'active games', 'playing', 'fun', 'nastya and dad', 'nastya', 'like nastya', 'stay at home']",202499,72702,38015117
Nastya and her stories about cats and kittens,Like Nastya,"Nastya loves her cat Fantasy very much. Nastya and dad often play with pets and come up with various funny stories about them for kids.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-05T06:00:12Z,"['stories about cats', 'nastya and dad', 'kittens', 'kids stories', 'pets', 'kids videos', 'nastya and cat', 'nastya', 'like nastya', 'настя', 'лайк настя', 'настя и кошка', 'котята']",343340,148644,80186099
Nastya has two little kittens,Like Nastya,"Nastya the cat gave birth to kittens. Now for dad there are a lot of worries. They need to buy toys, a house and decorations.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-05-03T06:00:00Z,"['kittens', 'nastya and cat', 'pets', 'play with pet', 'playing', 'toys', 'nastya and dad', 'funny cat', 'cat', 'настя и папа', 'настя и кошка', 'котята', 'настя', 'лайк настя']",314364,92002,60700326
Nastya and her routine work in the police,Like Nastya,"Nastya pretends to play as a policeman and helps everyone who needs help. She finds a missing puppy and receives a reward.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-29T20:03:42Z,"['pretend play police', 'police', 'toys', 'nastya and dad', 'playing', 'nastya', 'like nastya', 'играем в полицейского', 'настя и папа', 'игрушки', 'настя', 'лайк настя']",355661,152641,90635782
Nastya and the story about the tooth fairy,Like Nastya,"Nastya will soon lose a tooth and dad is trying to help with this. When the first tooth fell out, a tooth fairy came to Nastya and brought gifts.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-28T06:00:00Z,"['nastya and dad', 'nastya', 'tooth Fairy', 'kids story', 'bedtime story', 'story for kids', 'lose tooth', 'for kids', 'kids video', 'настя', 'лайк настя']",312391,124164,75878565
Nastya learns to joke with dad,Like Nastya,"Nastya and her friend decided to play a trick on dad. But dad did not like the jokes and he taught the girls to joke correctly.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-26T06:00:13Z,"['good joke', 'jokes', 'kids play', 'nastya and dad', 'nastya and friends', 'nastya', 'like nastya', 'шутки', 'розыгрыши для детей', 'детские шутки', 'настя и папа', 'настя', 'лайк настя']",629530,252260,135455709
Nastya and dad make a giant multi-colored slime,Like Nastya,"Nastya is playing with colored slime. Dad decided to help and mixed all the colors. 
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-24T06:00:02Z,"['nastya', 'slime', 'play with slime', 'toys for kids', 'big slime', 'kids play with slime', 'toy', 'pretend play', 'nastya and dad', 'настя']",245427,93690,57331545
Nastya and dad make ice cream,Like Nastya,"Nastya wants ice cream, but all the shops are closed. Dad himself makes different types of ice cream from fruits and even vegetables. Nastya does not like it and she makes chocolate ice cream according to her recipe.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-22T06:00:02Z,"['ice cream', 'make ice cream', 'nastya and dad', 'nastya', 'like nastya', 'готовим мороженое', 'мороженое для детей', 'мороженое', 'настя и папа', 'настя', 'лайк настя', 'pretend play']",330995,137405,86709268
Nastya and dad Collection for kids of New Stories,Like Nastya,"The Collection of New kids videos!
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-20T06:00:18Z,"['nastya', 'Collection for kids', 'kids videos', 'for kids', 'toys for kids', 'stories for kids', 'like nastya', 'Настя']",136157,55294,36089174
Nastya and magical mirrors changing faces,Like Nastya,"Nastya broke her mirror and went to the store to buy a new one. But in the mirrors she saw a terrible reflection. Dad decided to help Nastya.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-18T06:00:02Z,"['magical mirrors', 'funny faces', 'nastya and dad', 'nastya', 'like nastya', 'волшебные зеркала', 'смешные лица', 'face masks', 'настя и папа', 'лайк настя', 'настя']",426943,191732,103892772
Nastya and the Children's Stories about viruses / Kids Stay at Home,Like Nastya,"Nastya and her friend fight viruses and bacteria that arise in their home.
A short and simple stories explaining why children should stay at home and keep their house clean and tidy! #StayHome and play #WithMe !
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-04-16T06:00:07Z,"['nastya', 'stories for kids', ""children's story"", 'english fairy tales', 'about viruses', 'viruses', 'for kids', 'stay at home', 'kids videos', 'kids', 'cartoon', 'Nastya and friends', 'like nastya']",454203,217503,96945312
Nastya plays with magical photos,Like Nastya,"Nastya uses magical photos to arrange a funny dress up for her dad.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-14T06:00:13Z,"['nastya', 'nastya and dad', 'funny photos', 'kids photo', 'pretend play', 'funny costume', 'kids video', 'like nastya', 'настя', 'настя и папа']",252530,120358,63777289
Настя и папа - истории про путешествия и приключения,Like Nastya,"Настя и папа любят путешествовать, они летают в разные страны и находят весёлые приключения. 
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-12T06:00:10Z,"['настя и папа', 'истории для детей', 'путешествие', 'приключения', 'настя', 'лайк настя', 'travel', 'stories for kids', 'the adventures', 'kids videos', 'family fun', 'family trip', 'nastya', 'like nastya']",482883,208331,121581520
Настя и её странная няня,Like Nastya,"Настя хочет играть, но папа занят. Он решил пригласить няню для дочки. Но няня оказалась очень странная и не понравилась Насте.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-10T06:00:05Z,"['настя и папа', 'няня', 'ужасная няня', 'настя играет с папой', 'настя', 'лайк настя', 'nastya and dad', 'nastya', 'nanny', 'funny story for kids', 'pretend play', 'like nastya']",493946,221885,123288755
Настя и папа - загадочный челлендж в доме,Like Nastya,"Настя и папа получили задание найти и собрать 6 ключей. Загадочный челлендж начался в их доме.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-08T06:00:01Z,"['челлендж', 'настя и папа', 'приключения', 'настя', 'лайк настя', 'challenge', 'Nastya and dad', 'play with dad', 'Mysterious challenge', 'nastya', 'like nastya']",1234438,615049,342645027
Настя показывает что случается с теми кто обманывает,Like Nastya,"Настя пытается обмануть папу, но каждый раз при обмане у неё меняется внешность. Папа не узнал Настю и спрятался от неё. Настя просит прощения и навсегда запоминает что нельзя никого обманывать.

Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-06T06:00:02Z,"['настя и папа', 'как нельзя себя вести', 'настя', 'лайк настя', 'нельзя обманывать', 'nastya and dad', 'how not to behave', 'not cheating', ""don't be fooled"", 'moral story for kids', 'nastya', 'like nastya']",330671,165698,89061904
Настя и папа превратились в принцесс,Like Nastya,"Настя нашла в своей комнате аппарат для конфет. Как только она съедает одну то сразу превращается в принцессу. Папа тоже решил попробовать сладости.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-04T06:00:27Z,"['настя и папа', 'принцессы', 'дресс ап', 'настя', 'лайк настя', 'princesses', 'nastya and dad', 'pretend', 'dress up', 'princess dress', 'nastya', 'like nastya']",881902,411495,218085125
Настя и друзья превращаются в супергероев,Like Nastya,"Настин друг превращается в супергероя и мешает играть подругам. Настя и Стейси решили над ним подшутить и превратили его в принцессу.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-04-02T06:00:06Z,"['супергерои', 'настя', 'лайк настя', 'kids playing', 'nastya', 'like nastya', 'настя и стейси', 'stacy', 'настя и друзья', 'nastya and friends']",401972,206780,109416281
Nastya is preparing a birthday present for dad,Like Nastya,"Nastya prepares dad a birthday cake and gives presents.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-31T06:00:07Z,"['birthday', ""dad's birthday"", 'nastya and dad', 'birthday cake', 'nastya', 'like nastya', 'лайк настя', 'настя', 'папа', 'день рождения']",337755,119825,70346814
Nastya and Stacy open huge eggs with surprises and toys,Like Nastya,"Nastya and Stacy open eggs with surprises for girls, collect castles for princesses and houses for dolls.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-29T06:00:02Z,"['nastya', 'surprise eggs', 'toys', 'surprise toys', 'surprise', 'eggs', 'toy', 'for kids', 'Nastya and friends', 'Stacy', 'like nastya', 'настя', 'стейси']",301700,108804,62383703
Nastya and funny cases with Daddy,Like Nastya,"Nastya teaches dad to eat properly, and also arranges shows for him and helps in household chores. 
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-27T06:00:05Z,"['nastya and dad', 'kids videos', 'stories for kids￼', 'nastya', 'like nastya', 'funny stories', 'funny cases', 'pretend', 'bedtime stories', 'fairy tales', 'настя']",558058,250106,116966849
Nastya tries professions so as not to go to school,Like Nastya,"Nastya does not want to study. She thinks that she knows everything and tries to work in different professions. Of course she makes mistakes and understands that everything needs to be learned.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-25T06:00:18Z,"['nastya', 'play school', 'professions for kids', 'kids pretend play', 'toys', 'pretend play school', 'kids video', 'nastya and dad', 'like nastya', 'настя', 'лайк настя']",330517,139080,82634562
Настя и Стейси устроили весёлые соревнования,Like Nastya,"Папа Насти придумал весёлый челлендж для детей. Настя и Стейси собирают и называют названия всех геометрических фигур. За это получают огромный приз.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-23T06:02:01Z,"['челлендж', 'соревнования', 'настя и папа', 'настя', 'лайк настя', 'challenge', 'fun play', 'kids playing', 'competitions', 'toys for kids', 'nastya and dad', 'nastya and stacy', 'nastya', 'like nastya', 'stacy']",505748,231103,134601789
Nastya and her new room with a unicorn,Like Nastya,"Nastya met a magical unicorn and he turned her room into a rainbow with unicorns. Now Nastya has a new room with a swing.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-21T06:00:06Z,"['nastya', 'new room', 'unicorn', 'my room', 'magical unicorn', 'toys', 'room for girl', 'Nastya and dad', 'like nastya', 'настя', 'Настя и папа']",187436,65708,42595580
Nastya celebrates 50 million subscribers on the Like channel Nastya,Like Nastya,"Nastya has more than 50 million subscribers on the Like channel, and she decided to celebrate this holiday with her friends.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-19T06:00:10Z,"['nastya', 'like nastya', 'kids blogger', 'party kids', '50 million subscribers', 'party day', 'ruby button', 'настя', 'лайк настя', 'настя влог']",387298,130505,70629187
Настя и папа - история о том как важно мыть руки,Like Nastya,"Настя не хочет мыть руки и ест немытые фрукты. У неё болит живот и папа ведёт её лечиться. Там у неё находят микробы и дарят микроскоп. Теперь Настя и папа всегда моют руки с мылом.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-17T06:00:02Z,"['мыть руки', 'история для детей', 'микробы', 'настя и папа', 'настя', 'лайк настя', 'nastya and dad', 'story for kids', 'wash hands', 'germs', 'how not to behave', 'nastya', 'like nastya']",1002479,451416,268057359
Настя и папа играют с лего,Like Nastya,"Настя играет с лего и оно прилепает к папе на лицо. Сладости тоже липнут на лицо папе, и Настя не поймёт в чём дело. 
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-14T06:00:00Z,"['лицо в лего', 'игрушки', 'настя', 'like nastya', 'настя и папа', 'lego face', 'kids toys', 'funny story', 'toys for kids', 'nastya and dad', 'nastya', 'лайк настя']",686671,358862,176569494
Nastya and papa - funny dress up for Halloween,Like Nastya,"Nastya and dad dress up in funny costumes to get rid of hiccups.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-03-12T06:00:00Z,"['nastya', 'costumes', 'pretend', 'play with dad', 'nastya and dad', 'like nastya', 'dress up', 'дресс ап', 'настя', 'настя и папа', 'лайк настя']",566290,255983,139356185
Настя и папа собрались в путешествие,Like Nastya,"Настя и папа решили поехать в путешествие. Папа собрал свой чемодан а Настя свой. В чемоданах у Насти оказались очень нужные вещи и игрушки.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX

https://www.instagram.com/likenastya/",2020-03-10T06:00:07Z,"['путешествие', 'Настя и папа', 'игрушки', 'настя', 'лайк настя', 'family trip', 'family fun', 'pretend', 'toys', 'nastya and dad', 'nastya', 'like nastya']",1201660,520649,295631253
Настя и папа - история по вредную колдунью,Like Nastya,"Настя и папа мирно играют во дворе. Вдруг появляется колдунья и пытается испортить им веселье.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-03-08T06:00:06Z,"['настя и папа', 'история для детей', 'игры с папой', 'настя', 'лайк настя', 'колдунья', 'nastya and dad', 'pretend play', 'story for kids', 'witch', 'funny story', 'nastya', 'like nastya']",971158,472317,251409529
Настя и папа - магические истории,Like Nastya,"Настя и истории про случаи с волшебством. Настя и папа попадают в мир фантазий и несуществующих реальностей.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-03-06T06:00:00Z,"['Настя и папа', 'истории для детей', 'настя', 'лайк настя', 'игрушки', 'magical stories', 'toys for kids', 'stories for kids', 'nastya and dad', 'nastya', 'like nastya']",620918,299817,140994939
Nastya - Sorry - Kids Song (Official Video),Like Nastya,"Nastya - Sorry - Kids Song (Official Video)
New Music video by Nastya and dad.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-03-05T06:00:00Z,"['kids song', 'kids', 'song', 'like', 'baby songs', 'песни', 'песня', 'official video', 'music video', 'for kids', 'songs', 'children songs', 'kids videos', 'nastya', 'like nastya', 'Nastya song']",514687,283149,153367211
Nastya does good deeds and gets sweets,Like Nastya,"Nastya does good deeds and gets sweets and candies. Nastya is now doing a lot of good things.
Subscribe to Like Nastya - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-03-02T06:00:04Z,"['хорошие поступки', 'сладости', 'настя и папа', 'настя', 'лайк настя', 'good deeds', 'sweets', 'story for kids', 'nastya', 'like nastya']",175716,70137,43284168
Настя и Маргарита - истории про девочек,Like Nastya,"Настя любит играть с Маргаритой. Они придумывают новые истории и игры, наряжаются, делают мейк ап и открывают новые игрушки.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX

https://www.instagram.com/likenastya/",2020-02-29T06:00:00Z,"['настя и маргарита', 'настя и друзья', 'игрушки для девочек', 'весёлые истории', 'настя', 'лайк настя', 'funny stories', 'stories for kids', 'nastya and maggie', 'toys for girls', 'nastya and friends', 'nastya', 'like nastya']",981890,410742,202090635
Настя и Стейси устроили мейк ап,Like Nastya,"Настя взяла косметику у Стейси и нечаянно её сломала. Теперь Насте нужно подарить Стейси новый набор для мейкапа.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-27T06:00:02Z,"['настя и стейси', 'косметика для девочек', 'игрушки', 'nastya and stacy', 'makeup toys', 'toys for girls', 'play', 'nastya', 'like nastya', 'kids play', 'pretend play', 'stacy']",274516,126489,74231654
Nastya and Stacy exchange toys for sweets,Like Nastya,"Nastya wants the same toy as Stacy's. The friends decided to change. Then the girls dress up in dresses and make themselves new skirts.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-25T06:00:04Z,"['nastya', 'nastya and stacy', 'candy for kids', 'candy', 'настя', 'лайк настя', 'new toys', 'kids play', 'sweets', 'dress up', 'toys for girls', 'like nastya']",244637,100297,65390872
Nastya teaches dad to eat right and play sports,Like Nastya,"Nastya recommends to dad not to eat a lot, but dad does not listen and becomes very fat. Nastya feeds him healthy food and he is losing weight.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-23T06:00:01Z,"['nastya', 'pretend play', 'nastya and dad', 'healthy food', 'like nastya', 'настя']",719870,355471,208041278
Настя и папа - Давай Купаться - музыкальное видео,Like Nastya,"Настя и папа устроили день ванны и весело купаются под любимую детскую песенку про ванну.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-21T06:00:07Z,"['музыкальное видео', 'песня для детей', 'настя и папа', 'настя', 'лайк настя', 'nastya and dad', 'bath song', 'kids video songs', 'kid songs', 'children songs', 'nastya', 'like nastya']",864574,393292,258663268
Настя и её новые куклы,Like Nastya,"Настя купила в магазине новую куклу, но та слишком громко смеётся. Тогда Настя поменяла куклу на другую. Вторая кукла постоянно плачет. Вот такие новые игрушки сейчас производят)
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-19T06:00:08Z,"['кукла', 'новые игрушки', 'настя', 'лайк настя', 'игрушки для девочек', 'dolls', 'new toys', 'toys for girls', 'funny doll', 'nastya', 'like nastya', 'kids play']",746782,341261,179840726
Настя играет со странным игрушечным домиком,Like Nastya,"Настя решила купить новый красивый детский домик. Но он оказался необычным и приносит много сюрпризов и хлопот 

Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/
Tik Tok - https://vm.tiktok.com/pY1S2D/",2020-02-17T06:00:04Z,"['игровой домик', 'игрушки', 'настя и папа', 'лайк настя', 'настя', 'playhouse', 'toys for kids', 'play with toys', 'nastya and dad', 'like nastya', 'nastya', 'pretend play', 'игры для детей', 'детские игры', 'kids stories', 'kids play']",120534,46395,30091046
Nastya - Chocolate Challenge for Friends,Like Nastya,"Chocolate Challenge with Nastya and Friends
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-15T06:00:01Z,"['nastya', 'chocolate', 'Chocolate Challenge', 'Nastya and friends', 'kids play', 'fun play', 'chocolate food', 'like nastya', 'настя']",962391,425865,214841748
Настя превратилась в мальчика,Like Nastya,"Настя случайно превратилась в мальчика и стала вести себя как мальчишка. Она играет в игрушки для мальчиков с папой.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-14T06:00:14Z,"['настя и папа', 'мальчики и девочки', 'игрушки для мальчиков', 'лайк настя', 'настя', 'nastya and dad', 'toys for boys', 'story for kids', 'pretend', 'nastya', 'like nastya']",755587,201674,122833290
Настя показывает папе фокусы,Like Nastya,"Настя хочет стать фокусником и решила устроить представление для папы. Настя показывает ему супер фокусы.
#ДОМАВМЕСТЕ 
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-12T06:00:08Z,"['фокусы', 'фокусы для детей', 'игрушки', 'настя и папа', 'лайк настя', 'настя', 'tricks', 'magician', 'magic tricks', 'toys for kids', 'play', 'nastya and dad', 'like nastya', 'nastya', 'домавместе']",554746,240054,138823345
Nastya and dad - how you can't behave with your parents,Like Nastya,"Nastya makes a wish for dad to evaporate. The wish immediately comes true and Nastya is left alone. What lesson will she learn from this?
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-10T06:00:04Z,"['how not to behave', 'story for kids', 'nastya and dad', 'like nastya', 'nastya', 'pretend play', 'rules for children', 'kids video', 'настя']",110313,39571,29758143
Настя делает хорошие поступки чтобы папа её наградил сладостями,Like Nastya,"Настя убирает в своей комнате, вытирает пыль, поливает цветы, развешивает платья. Всё это только для того чтобы папа поделился с ней сладостями.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-08T06:00:04Z,"['хорошие поступки', 'настя и папа', 'лайк настя', 'сладости', 'настя', 'good deeds', 'story for kids', 'nastya and dad', 'play', 'like nastya', 'nastya']",572786,261094,166385918
Nastya and dad - strange dreams,Like Nastya,"Nastya and dad watched horror stories at night. Now they have strange dreams and ghosts.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-06T06:00:02Z,"['nastay', 'nastya and dad', 'strange dreams', 'Nastya and dad', 'kids video', 'pretend play', 'like nastya', 'nastya', 'настя', 'настя и папа']",411132,195935,117427781
Настя - Тебя поздравит Настя - песня для детей (Official Video),Like Nastya,"Премьера новой детской песни ""Тебя поздравит Настя"" (музыка и стихи - Игорь Николаев) Настя поёт и поздравляет всех, у кого день рождения. 
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-04T06:00:05Z,"['настя песня', 'песенка для детей', 'песня про день рождения', 'поздравляю с днём рождения', 'лайк настя', 'настя', 'nastya song', 'birthday song', ""kid's song"", 'music video', 'like nastya', 'nastya']",891388,339132,285087324
Nastya plays with her dad in a challenge with chocolate toys,Like Nastya,"Nastya cooked chocolate vegetables and decided to play. Who will get a real healthy vegetable, and some chocolate
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-02-02T06:00:06Z,"['nastya', 'chocolate challenge', 'chocolate toys', 'kids pretend play', 'kids challenge', 'funny stories', 'kids playing', 'nastya and friends', 'chocolate', 'настя']",314858,126906,73490141
Лайк Настя и её день рождения 6 лет,Like Nastya,"Настя празднует своё день рождения, ей исполнилось 6 лет. Настя пригласила друзей и получила много подарков.

Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX

https://www.instagram.com/likenastya/",2020-01-31T06:00:04Z,"['лайк настя день рождения', 'день рождения насти', 'мой день рождения', 'настя', 'лайк настя', '6 лет', 'birthday', 'kids video', 'happy birthday', 'birthday party', 'like nastya', 'nastya']",378179,125502,75233532
Nastya and dad - stories about the right behavior,Like Nastya,"Children often behave abnormally. Nastya and dad will teach how to behave properly for children.
Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX
https://www.instagram.com/likenastya/",2020-01-29T07:00:00Z,"['behavior', 'pretend play', 'nastya and dad', 'funny stories', 'how not to behave', 'toys', 'nastya', 'like nastya', 'videos for kids', 'Настя и папа', 'лайк настя']",492439,231528,117872975
Настя и папа учат Английский Алфавит,Like Nastya,"Настя и папа открывают коробочки с сюрпризами и играя учат алфавит

Subscribe to Like Nastya Vlog - https://is.gd/gdv8uX

https://www.instagram.com/likenastya/",2020-01-27T06:00:01Z,"['английский алфавит', 'alphabet', 'лайк настя', 'настя', 'toys for kids', 'play', 'learn and play', 'like nastya', 'nastya', 'настя и папа', 'nastya and dad']",882819,455520,213046342
